fandom_name,frequency,classification
黑神话：悟空 | Black Myth: Wukong (Video Game),1,Video Game
西遊記 | Saiyuki | Alakazam the Great (1960),1,Movie
劉伯溫傳奇 | Liu Bo Wen Chuan Qi (TV),1,TV
神探狄仁杰 | Amazing Detective Di Ren Jie (TV),1,TV
名侦探狄仁杰 | DIRENJIE The Famous Detective (TV 2015),1,TV
陆贞传奇 | Legend of Lu Zhen (TV),1,TV
Judge Dee Mysteries - Robert van Gulik,1,Book
柳永 | Liu Yong (Opera),1,N/A
承欢 - 一只猫浮 | Chénghuān - Yīzhī Māofú,1,Book
天宝伏妖录 - 非天夜翔 | Tiān Bǎo Fú Yāo Lù - Fēi Tiān Yè Xiáng,1,Book
13th Century CE RPF,1,History Period
Three Kingdoms Period,1,History Period
パリピ孔明 | Paripi Koumei | Ya Boy Kongming! (Anime),1,Anime
新步步惊心 | Time to Love (Movie 2015),1,Movie
东方朔 | Dongfang Shuo (TV),1,TV
楊家將 | The Yang's Saga (TV 1985),1,TV
山河之影 | Pledge of Allegiance (TV),1,TV
大理寺日志 | White Cat Legend (Cartoon),1,Cartoon
???? | Empress Cheonchu (TV),1,TV
Chinese History RPFF,1,History Period
杨家将 | Yáng Jiā Jiàng | Generals of the Yang Family,1,Book
哪吒 | Nezha (Movies 2019 2025),1,Movie
忠烈杨家将 | Saving General Yang (2013),1,Movie
少年杨家将 | The Young Warriors (TV),1,TV
Xi You Ji | Journey to the West - Wu Cheng'en,1,Book
独孤天下 | The Legend of Dogu (TV),1,TV
